nombre;direccion;telefono;email;descripcion;;
Skab’s Diamond ;Av Kennedy  n° 6575, Las Condes, Metropolitana De Santiago, Chile;56894238;contacto@luxurypets.cl;Criadero de chihuahuas! <U+2764><U+FE0F>;;
Agoveterinaria Patagonia;Teniente Merino 395, Aisén Del General Carlos Ibáñez Del Campo, Chile;67-330995;agroveterinaria.patagonia@yahoo.es;Actividades Agroveterinarias y venta de mascotas (Terrier Chileno);;
Amici Della Vita;Manuel Rodriguez, Isla De Maipo, Metropolitana De Santiago, Chile;79650556;ventas@amicidellavita.cl;Venta de mascotas;;
Clinica Veterinaria GORDON´S;Jose Miguel Carrera 11908 Local B(Gran Avenida., El Bosque, Metropolitana De Santiago, Chile;25616162;clinicaveterinaria_gordons@hotmail.com;;;
Clínica Veterinaria Welpen;Avenida Tobalaba 13677 Local 2 (Stripcenter Quilín), Peñalolén, Metropolitana De Santiago, Chile;22846430;Veterinaria.Welpen@gmail.com;Consulta-Peluquería Canina-Venta de Alimentos-Accesorios-Fármacos.;;
Clínica Veterinaria Innova Vet;Oficinas: Ainvaillo 426, Concepción., Concepción, Biobío, Chile;41-2935665;contacto@innovavet.cl;Servicio exclusivo, integral para mascotas del gran Concepción y alrededores. Un equipo de médicos de especialidad, brinda el mejor servicio en la comodidad de tu hogar.;;
Barki;Av El Rosal n° 6190, Maipú, Metropolitana De Santiago, Chile;978418126;barkistorechile@gmail.com;Venta de accesorios para mascotas. Emprendimiento social que busca ayudar a través de donaciones (30% de sus ventas) a fundaciones que se dedican a salvar vidas de peludos en situación de calle. ;;
Clínica Veterinaria Melipets;Pardo 242, Melipilla, Metropolitana De Santiago, Chile;28312911;drleon7@hotmail.com;;;
Clínica Veterinaria Puerto Pet;Las Heras 655, Valparaíso, Valparaiso, Chile;(032)3270095;clinicapuertopet@gmail.com;Clínica veterinaria y Pet Shop que ofrece consulta, cirugía, farmacia, alimentos, venta de ropa, accesorios y juguetes para mascotas.;;
Pet Regency - Hotel Canino - Iquique;Amunátegui 1999, Iquique, Tarapacá, Chile;(57)766320;pet.regency@yahoo.com;Hotel canino / guardería en Iquique. Amplios caniles y patio para paseo diurno. Viaje tranquilo, se lo cuidamos.;;
Yobuscoatumascota.cl;Sótero Del Río 508 , Oficina 935, Santiago Centro., Santiago, Metropolitana De Santiago, Chile;02-26620362;contacto@yobuscoatumascota.cl;Servicio de búsqueda de mascotas robadas y extraviadas y asesoría jurídica.;;
Covepa;Arturo Alessandri 400, Frutillar, Los Lagos, Chile;(65)420211;frutillar@covepa.cl;;;
Pet Shop Juan José Muñoz Cortés;Benjamín Vicuña Mackena 1048, Arica, Arica Y Parinacota, Chile;78260921;juanjose@pdacolombia.com;Natural Pet;;
MASCOSTAS CLARE;Avda Las Rejas Sur , Estación Central, Metropolitana De Santiago, Chile;56963601716;mascotasclare@gmail.com;ALIMENTOS ;;
Clínica Veterinaria Salud Animal;Calle 1 4106, La Floresta 3, Hualpén., Hualpén, Biobío, Chile;041-3222799;saludanimal@hotmail.com;;;
Huellas De Mascotas ;Pedro Fontova  n° 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;servicios de mascotas;;
DogCare Hotel;Simon Bolivar n° 7146, La Reina, Metropolitana De Santiago, Chile;991393936;contacto@dogcare.cl;Hotel para perritos pequeños y medianos. Perros libres dentro y fuera de casa, en un ambiente acogedor y con mucho amor por los animales. Distintos servicios según la necesidad del amo. Contacto constante para saber como está tu mascota.;;
Clínica Veterinaria Aldea Animal;Huérfanos 1527, Local 1, Santiago, Metropolitana De Santiago, Chile;76541056;aldeaanimal@hotmail.cl;Somos una consulta veterinaria, con la mejor atención de Santiago centro, para tu mascota  y sus necesidades, contamos con Pet-shop, atención veterinaria, y peluquería canina y felina.;;
Hotel Huellas De Mascotas;Pedro Fontova 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;Hotelería para perritos donde su mascota se encuentran libre jugando, entreteniéndose y sociabilizando. Su mascota es un integrante mas de nuestra familia. cupos limitados, reserve con anticipación.;;
Clínica Veterinaria Soc. Agricola Regional;Manuel Rodriguez 481;;;;;
CLÍNICA VETERINARIA TOMÁS MORO;Avenida Tomás Moro 1242;;;;;
Clínica Veterinaria Salud-Medica.cl;JOSE M. BALMACEDA 4151 LOCAL 5, Renca, Metropolitana De Santiago, Chile;02-9689886;contacto@salud-medica.cl;SALUD-MEDICA.CL  EMPRESA DEDICADA A ENTREGAR SERVICIOS FARMACÉUTICOS (SERV.FARMACIA A DOMICILIO), ADEMAS  FARMACIA VETERINARIA A DOMICILIO O EN LOCAL. CONOZCA NUESTROS SERVICIOS EN NUESTRA PAGINA WWW.SALUD-MEDICA.CL;;
Pet Puppies ;Huerfanos  n° 1055 local  Tienda On-Line, Santiago, Metropolitana De Santiago, Chile;24613943;contacto@petpuppies.cl;Lo Mejor para tu mascota ;;
Pet Shop Danae;Roberto Duran Valenzuela 2550, Maipú, Metropolitana De Santiago, Chile;228006102;alimentosdanae@gmail.com;"Tenemos una amplia variedad de alimentos para perroos y gatos . con despacho gratis , en sectores de la comuna de maipú , especialmente la variedad ""fit formula""";;
Animal Green;Serrano 485, Quillota, Valparaiso, Chile;3.326.919.495.142.830;centrointegralparamascotas@gmail.com;Ofrecemos Gimnasio Canino, de forma saludable y entretenida tu mascota se distrae, ejercita y canaliza su energía en forma positiva.;;
Mi Mascota Maipu;Camino El Bosque , Maipú, Metropolitana De Santiago, Chile;988172086;mimascota250@gmail.com;Venta de Alimentos y accesorios para mascotas;;
Clínica Veterinaria Salud-Medica.cl;JOSE M. BALMACEDA 4151 LOCAL 5, Renca, Metropolitana De Santiago, Chile;02-9689886;contacto@salud-medica.cl;SALUD-MEDICA.CL  EMPRESA DEDICADA A ENTREGAR SERVICIOS FARMACÉUTICOS (SERV.FARMACIA A DOMICILIO), ADEMAS  FARMACIA VETERINARIA A DOMICILIO O EN LOCAL. CONOZCA NUESTROS SERVICIOS EN NUESTRA PAGINA WWW.SALUD-MEDICA.CL;;
Snack Pet;José Miguel Carrera local  Depto 905, Santiago, Metropolitana De Santiago, Chile;996359630;anyca_21.01.06@hotmail.com;Nuestra empresa ofrece snack 100%naturales;;
Veterinaria Trupyvet;Castellon n° 0269, Villa Alemana, Valparaiso, Chile;323421125;dra.acevedosanchez@gmail.com;trupyvet ofrece para sus mascotas todo tipo de servicios tales como cirugías hospitalizaciones vacunas consultas etc;;
Megapaseos;Av. Suecia 2306, Providencia, Metropolitana De Santiago, Chile;992802078;dparedes372@gmail.com;Para aquellas personas que no disponen de tiempo para sacar a su querido perro tenemos la solución: ¡nosotros lo hacemos por usted! El precio por paseo es:;;
Pet Shop Pet Lover;Cobija 2357, Villa Ascotan., Calama, Antofagasta, Chile;77164300;petlover.calama@gmail.com;Artículos y comida para mascotas. Baño de mascotas y paseo de perros.;;
Pet Shop Dog Y Cositas;Carrion 1319, Independencia, Metropolitana De Santiago, Chile;77434390;dogycositas@gmail.com;Venta de cajoneras, escaleras, collares, pinches, bósales, ropa y novedosos artículos perrunos.;;
VITASTEMCEL, MEDICINA REGENERATIVA VETERINARIA;Tabancura  n° 1091, Metropolitana De Santiago, Chile;56988184308;laboratoriovsc@gmail.com;Laboratorio de Medicina Regenerativa Veterinaria, provee servicio de obtención de células madre propias o  de donante listas para aplicación clínica,  factores de crecimiento,  medicamentos inmunomoduladores y  además servicio de banco por medio de criopreservación. Poseemos protocolos clínicos  propios y asesoramos directamente a nuestros clientes médicos veterinarios y/o dueños de animales. ;;
LASKAPRAGHEN;Etchevers Alto 645 21-D, Viña Del Mar, Valparaiso, Chile;84295128;jimpaulina@gmail.com;Criadero familiar de yorkshires negro plateado, negro fuego, regro rubio plateado, etc. pesos entre 1 kl y 2,700gr.;;
American Vet Clinic;Avda. Las Tranqueras 1302, Vitacura, Metropolitana De Santiago, Chile;24536500;martinvet@vtr.net;En Clínica Veterinaria American Vet Clinic (AVC) nos preocupamos de que su mascota tenga una atención médico veterinaria de excelencia.;;
Veterinaria La Granja;Colo Colo  n° 1634, Linares, Maule, Chile;942621980;contacto@asesoriastrilad.com;Hotel para mascotas y Veterinaria clinica;;
AnimalsMonkfish;Pasaje Almirante Latorre 2314, Villa Rinconada Oriente., Maipú, Metropolitana De Santiago, Chile;8-3654772;animals.monkfish@gmail.com;Corte de Pelo según raza de su Mascota;;
Covepa;Chorrillos 1349, Puerto Montt, Los Lagos, Chile;(65)270100;puertomontt@covepa.cl;;;
Planeta Animal;El Salto 2505, Recoleta, Metropolitana De Santiago, Chile;26210911;planetaanimal2@yahoo.es;Consulta, Vacunas, Tratamientos, Cirugía, Hospitalización, Radiografias, Peluqueria, Farmacia, accesorios, otros.;;
Pet Shop Alimento Mascotas A Domicilio ;Isabel Riquelme Norte 3488, Maipú, Maipú, Metropolitana De Santiago, Chile;56976950367;odre@live.cl;"Pyme familiar ""Vamos a su Hogar"" dedicada a la venta y despacho a domicilio de alimento para mascotas en Maipú, exclusividad sector La Farfana y alrededores.";;
Hotel Pet Resort Santiago;Las Tranqueras, Las Condes, Metropolitana De Santiago, Chile;944101329;contacto@hotelpetresort.cl;Hotel Pet Resort Santiago.;;
Befoods;Condell 1240, Valparaíso, Valparaiso, Chile;(032)259-2000;contacto@befoods.cl;Encuentra nuestros productos Drag Pharma en la quinta región ingresando a nuestra página web www.befoods.cl;;
Clinica Veterinaria Cesvet;Carmen 1701-A, Santiago, Metropolitana De Santiago, Chile;02-5565854;cesvetchile@gmail.com;;;
Muy Bien Pet!;Manolete n° 4070, Ñuñoa, Metropolitana De Santiago, Chile;930908644;muybienpet@gmail.com;Soy Magdalena Prieto Vivanco, Médico Veterinario de la Universidad Santo Tomás y Fundadora de Muy Bien Pet!. El año 2009 comenzó este maravilloso camino de formación en el área de comportamiento animal. ;;
Hotel Felino;San Isidro 471 Local 6, Santiago, Metropolitana De Santiago, Chile;26650352;info@hotelfelino.cl;Hotel para gatitos. Si tienes que salir, cambiarte de casa, nace tu bebe, un viaje, debes hospitalizarte y no tienes donde dejar a tu(s) gatito(s) durante ese periodo, no te preocupes, nosotros lo cuidamos por ti.;;
Clínica Veterinaria Vet-Aike;BENJAMIN ZAMORA 521, Magallanes Y De La Antártica Chilena, Chile;061-413101;INFORMACION@VETAIKE.CL;CLINICA, FARMACIA Y HOSPITAL VETERINARIO;;
KILTRU;Pablo Ramírez 151-A, Paradero 30, Quilpué, Valparaiso, Chile;79755257/90969323;contacto@kiltru.cl;Centro Veterinario.;;
Family Pet E.I.R.L;Miraflores 403 Local 1 Y 2, Chimbarongo, Libertador General Bernardo O'Higgins, Chile;72782863;cfamilypets@gmail.com;Sucursal 1: Garcia y Reyes en el Terminal de Buses Local Nº 7;;
Criadero Shin Chan;Eduardo Donoso 850, Ñuñoa, Metropolitana De Santiago, Chile;2379262-98329911;juan.pablo.abarca@hotmail.com;Listos para la venta 35 erizitos de 1 mes y 28 días y de 2 meses de colores canela, rubios ,grisáceos y sal y pimienta todos alimentándose solitos con pellet de alto valor nutritivo royal canin.;;
Pet Shop Fashion Show Santiago;Monjitas 606, Santiago, Santiago, Metropolitana De Santiago, Chile;26385316;contacto@petfashionshow.cl;Pet Shop, Peluquería Canina y Estética Felina. Venta de Ropa, alimentos, accesorios para mascotas en Barrio Bellas Artes con un muy buen servicio y agradable ambiente.;;
A Premium Dog Food;Parque Horno n° 8939, Metropolitana De Santiago, Chile;984091721;contacto.premiumdogfood@gmail.com;venta de alimento premium para perros y gatos;;
Clínica Veterinaria Angel Guardian ;Maipú 721 Local 1, Linares, Maule, Chile;073-214790;angelguardianveterinaria@hotmail.com;;;
Pet Shop Petline Constitución;Bulnes  1121, Constitución, Chile;;petline.constitucion@hotmail.com;;;
Katherine Castro Araya;Miguel Rubio  n° 1161, Maipú, Metropolitana De Santiago, Chile;56936214645;contacto@donperropet.cl;Venta de alimentos para mascotas y afines;;
Pet Shop Dog Y Cositas;Carrion 1319, Independencia, Metropolitana De Santiago, Chile;77434390;dogycositas@gmail.com;Venta de cajoneras, escaleras, collares, pinches, bósales, ropa y novedosos artículos perrunos.;;
Huellas De Mascotas ;Pedro Fontova  n° 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;Servicios de mascotas: Veterinaria, Peluqueria, Hoteleria, Guarderia, Alimentos y accesorios.;;
Clínica Veterinaria Guau & Miau;Av. El Olimpo 2051, Maipú, Metropolitana De Santiago, Chile;224016854;veterinariaguauymiau@gmail.com;Somos una clínica veterinaria que nace con el fin de entregar un servicio integral para tu mascota y con todo el cariño que ella necesita;;
Clinica Veterinaria VetBailly;Cumming 98, Villa Alemana, Valparaiso, Chile;322113974;vetbailly@gmail.com;Clinica Veterinaria VetBailly, consultas, cirugias, desparasitaciones, vacunas, etc.;;
PET SITTER LOS ANGELES;Avda. Sor Vicenta   n° 2276, Biobío, Chile;935179185;leddaangelica@yahoo.es;Servicio a Domicilio. Cuidado de Mascotas en casa es una excelente alternativa para dejar a su regalón en su casa cuando se va de viaje o cuando no tiene tiempo. Las mascotas se sienten más seguras en la comodidad de su propia casa y están libres de estrés y exposición a enfermedades o lesiones que puede causar estar en un ambiente desconocido con muchos otros animales.;;
Maria Isabel Valdes Urquiza;Pje. Los Geólogos 5111, Macul, Metropolitana De Santiago, Chile;22213831;luly1965@hotmail.com;Soy peluquera canina y además cuido perros en casa en un ambiente familiar.;;
ArmoniaQi;Manuel Montt 2629, Providencia, Metropolitana De Santiago, Chile;81477117;armoniaqi@gmail.com;Terapia Floral y Reiki Para Mascotas.;;
Don Perro;Tobalaba  n° 10125, La Reina, Metropolitana De Santiago, Chile;56999734238;victor@donperro.cl;Realizamos paseos caninos en diferentes comunas de la zona oriente de Stgo. Distintos planes y tarifas según cantidad de días y perros. Visita nuestra web. Además tenemos Fanpage e Instagram!;;
Putzy Cat;Merced 154, Santiago, Metropolitana De Santiago, Chile;26390821;veterinariaputzycat@gmail.com;tienda de mascotas ,veterinaria y peluqueria canina;;
Pet Shop Scot;Pasaje Calisama 6637, Villa Los Libertadores. Huechuraba, Huechuraba, Metropolitana De Santiago, Chile;51047119;cmess277@gmail.com;;;
Befoods;Bellavista 463, Valparaíso, Valparaiso, Chile;(032)222-60-33;contacto@befoods.cl;Encuentra nuestros productos Drag Pharma en la quinta región ingresando a nuestra página web www.befoods.cl;;
"Club Social, Cultural Y Deportivo ""SHIH TZU LOVERS CHILE""";Maipu n° 1116, Santiago, Metropolitana De Santiago, Chile;56997931311;clubshihtzuloverschile@gmail.com;Organizacion Funcional de Mascotas e Inclusion;;
Pooch Boutique;Domingo Bondi 1035;;;;;
Clínica Veterinaria Los Alerces;Av. O'higgins 195, San Bernardo, Metropolitana De Santiago, Chile;(02)7116828;veterinarialosalerces@yahoo.es;Consultas veterinarias, vacunas,cirugias, peluquerias, atención a domicilios de calidad, al alcance de todos.;;
Premium Dog Food;Parque Horno n° 8939, Peñalolén, Metropolitana De Santiago, Chile;984091721;contacto.premiumdogfood@gmail.com;venta de alimento premium para perros y gatos;;
Pet Shop Martin Mascotin;9 De Enero 02984, Pueblo De Lo Espejo, Lo Espejo, Metropolitana De Santiago, Chile;27026419;negra198541@gmail.com;;;
Mi Mascota Entretenida;Avda. Portugal 87 Torre 8 Local 2-A, Metropolitana De Santiago, Chile;87264238;mascotaentrete@gmail.com;Peluqueria Canina y Pet Shop, estampados Publicitarios.;;
Pet Shop K-can;Av. Portales 205, Local 4, Maipú, Metropolitana De Santiago, Chile;29868304;cereceda.german@gmail.com;ALIMENTOS Y ACCESORIOS PARA MASCOTAS.;;
Veterinaria Bio Vet;Santa Florencia 1800, Local E, La Florida, Metropolitana De Santiago, Chile;27106821;veterinaria@veterinariabiovet.cl;;;
Peludogs Peluquería Para Mascotas;Michimalonco n° 1133, San Pedro De La Paz, Biobío, Chile;413356899;hola@peludogs.cl;Peludogs es la primera Peluquería de Mascotas en Positivo es una forma profesional de realizar las tareas de higiene y estética de la mascota cuyo fundamento es la compresión y el control de los factores que le puedan producir estrés, angustia o miedo. Representa una relación basada en la confianza y la comunicación, una forma de realizar el servicio de que favorece el respeto mutuo y en la que la prioridad absoluta es el bienestar y la seguridad de la mascota. Amamos a los peludos y nos preocupamos que su experiencia sea positiva y que no le teman nunca más volver a la peluquería.;;
Lucky´' Pets;Avda Santa Filomena 2086 Villa Galilea Rancagua, Rancagua, Libertador General Bernardo O'Higgins, Chile;50927459;earaya274@gmail.com;Venta de alimentos y accesorios para Mascotas;;
Pet Shop Mi Pequeño Amigo;Melgarejo 1525 ;;;;;
Cementerio Bapets ;3 Oriente 214, Talcahuano, Concepción, Biobío, Chile;66781926;ventasbapets@gmail.com;Servicio unico en Chile de Aquacremacion de mascotas, proceso sin generacion de gases, totalmente amigable con el medio ambiente, además de las cenizas entregamos si lo desea el dueño de la mascota,  una planta fertilizada con lo cual se cierra el ciclo de la vida.;;
Pet Shop Mym;Avenida Placer 948 Local 80 Persa Procome, Santiago, Metropolitana De Santiago, Chile;7-5251108;pet.shop.mym@hotmail.com;venta de conejos de diferentes razas , cuyes de diferentes razas , hamster de diferentes razas , alimentos, accesorios , jaulas y mucho mas...;;
Pomerania Blancos De Costa Rica;Coronado, Costa Rica;50661971576;pomeraniancr@gmail.com;Criadores de Pomerania blancos , padres campeones, full pedigree, cara de oso , doble capa de pelo;;
Pet Shop Filgueira Milagres;Avda El Misterio Pascual 1818, San Bernardo, Metropolitana De Santiago, Chile;29335712;filgueiramilagres@gmail.com;Pet Shop dedicado a todas las mascotas, perros, gatos, pequeños animales, exóticos, reptiles, aves, peces además de Hotel felino. ;;
Criadero Basantiar;MANUEL GONZALEZ 223 MALLOCO, Peñaflor, Metropolitana De Santiago, Chile;56949218271;contacto@criaderobasantiar.cl;Somos un criadero familiar que realizamos crianza desde el año 2002 en el mundo de los perros. Realizamos nuestro trabajo de la mejor manera posible, cuidando especialmente el estado de ellos, creando instalaciones cómodas ya que son parte de nuestra familia. Somos un criadero con estándares Profesionales y amantes de ellos, para nosotros es un hobbie y lo hacemos de la mejor manera posible tratando siempre de criar lo mejor.;;
Paseador;Juan Palau  n° 1623, Las Condes, Metropolitana De Santiago, Chile;56995916514;info.paseador@gmail.com;Hola!!!;;
Kuriros Pet;Avenida 18 De Septiembre n° 4310, La Serena, Coquimbo, Chile;512484024;kurirospet@gmail.com;Somos Daniela Y Roberto, ambos Estilistas Caninos con Estudios Comprobables.;;
Happy Vet;Av. Larraín 6790, La Reina, Metropolitana De Santiago, Chile;29210166;veterinaria.happyvet@gmail.com;Clínica Veterinaria: que consta de consulta, emergencias, realización de cirugías.;;
NovaPet;Sierra Bella 1753, Santiago Centro., Santiago, Metropolitana De Santiago, Chile;227252764;contacto@novapet.cl;Nos dedicamos especialmente al servicio de alimentos para mascotas a domicilio en todo Santiago, donde buscamos ofrecer un modelo de ventas integral para satisfacer sus necesidades de compra, a un precio competitivo, con una atención eficiente y de calidad.;;
PONS RAZAS;Camino TUNICHE 1328 VILLA TUNICHE RANCAGUA, Rancagua, Libertador General Bernardo O'Higgins, Chile;78816505;ponsrazas@hotmail.com;Servicio Venta y Distribución de alimentos para Mascotas;;
Clínica Veterinaria Salud Animal;Calle 1 4106, La Floresta 3, Hualpén., Hualpén, Biobío, Chile;041-3222799;saludanimal@hotmail.com;;;
"Clínica Veterinaria ""Parque Central""";Las Perdices 8201 Parque Central, Hualpén, Hualpén, Biobío, Chile;3240388;veterinariapc@gmail.com;Consultas, vacunación, cirugías, farmacia, alimentos, peluquería canina.;;
Diamond Blue Yorkshire Terrier;Lircay 117, Recoleta, Recoleta, Metropolitana De Santiago, Chile;92503098;contacto@diamondblue.cl;Criamos Yorkshire Terrier de alta selección para show y compañía con el mismo amor, seriedad y la dedicación necesaria para conseguir el más bello ejemplar en un ambiente familiar.;;
Hotel Canino Ñuque Cuyen;Camino La Obra Parcela, Buin, Metropolitana De Santiago, Chile;90171623;nuquecuyen@hotmail.com;Hotel Canino, servicios de traslados, baño y peluquería;;
Retratos De Mascotas;Avenida Ricardo Lyon 3392, Ñuñoa, Metropolitana De Santiago, Chile;962253066;serviciodeimagen@gmail.com;Pintamos retratos personalizados de Mascotas. Realizamos en distintos tamaños y formatos (redondos, ovalados, cuadrado o rectangulares. Entrega a todo Chile.;;
Clínica Veterinaria Pet Boutique;Lord Cochrane 277, Santiago, Metropolitana De Santiago, Chile;02-27033718;tiendapetboutique@gmail.com;Clínica veterinaria, farmacia veterinaria, tienda de mascotas, peluquería, alimentos y accesorios;;
Pet Shop Kenos;Juan Antonino Ríos 2159, Lagunilla, Coronel, Biobío, Chile;2755122;distribuidorakenos@gmail.com;Horario de atención de lunes a sábados desde las 10:00 hasta 21:00hrs;;
Criadero Bulldog Ingles Frantonbulls;Las Araucarias 1309 Lagunillas 3, Coronel, Coronel, Biobío, Chile;41-2104352-41-2754553;vida.animal@live.com;;;
Premium Dog Food;Parque Horno n° 8939, Peñalolén, Metropolitana De Santiago, Chile;984091721;contacto.premiumdogfood@gmail.com;venta de alimento premium para perros y gatos;;
Clinica Veterinaria Pets Care;Av. Manuel Antonio Matta 991, Quilicura, Metropolitana De Santiago, Chile;26031407;vetpetscare@yahoo.cl;consulta veterinaria, atención de perros,gatos y exóticos, cirugías, exámenes de laboratorio,limpiezas dentales, alimentos, accesorios y mucho mas....;;
Befoods;Bellavista 463, Valparaíso, Valparaiso, Chile;(032)222-60-33;contacto@befoods.cl;Encuentra nuestros productos Drag Pharma en la quinta región ingresando a nuestra página web www.befoods.cl;;
Clínica Veterinaria Kelén;Avenida San Sebastián 1235 Local 5,, Concepción, Biobío, Chile;041-2793969;vetconsue@gmail.com;Limpieza dental con ultrasonido, cirugías, consultas, vacunas, farmacia veterinaria, alimentos, accesorios.;;
Megapaseos;Av. Suecia 2306, Providencia, Metropolitana De Santiago, Chile;992802078;dparedes372@gmail.com;Para aquellas personas que no disponen de tiempo para sacar a su querido perro tenemos la solución: ¡nosotros lo hacemos por usted! El precio por paseo es:;;
Cynthia Mendez;Bacteriologico 10237, La Florida, Metropolitana De Santiago, Chile;22825324--22676500;elmolinodeheidi@@gmail.com;ALIMENTO PARA MASCOTAS EN LA FLORIDA Y PUENTE ALTO;;
Pet Country;Bocaccio 511, Las Condes, Metropolitana De Santiago, Chile;27168599;ventas@pet-country.cl;Venta de mascota y alimento para mascotas. Despacho a domicilio.;;
Criadero Bulldog Ingles Frantonbulls;Las Araucarias 1309 Lagunillas 3, Coronel, Coronel, Biobío, Chile;41-2104352-41-2754553;vida.animal@live.com;;;
Pet Shop Pet Lover;Cobija 2357, Villa Ascotan., Calama, Antofagasta, Chile;77164300;petlover.calama@gmail.com;Artículos y comida para mascotas. Baño de mascotas y paseo de perros.;;
Clínica Veterinaria Mundo Animal;Av. Las Torres 4770, Peñalolén., Peñalolén, Metropolitana De Santiago, Chile;24015940;ventas@mundoanimal.cl;Clínica Veterinaria, Peluquería Canina y Felina, Medicina Complementaria (Flores de Bach, Aromaterapia, Gemoterapia), Medicina Exótica, Cirugía, Traumatología, Hospitalización, Limpieza Dental (destartraje), Radiología, Ecografía, Ecocardiografía, Urgencias y Atención a Domicilio.;;
Covepa;Federico Errazuriz 397, Calbuco, Los Lagos, Chile;(65)461328;calbuco@covepa.cl;;;
Clínica Veterinaria Huesitos;MANUEL RODRIGUEZ 159, Chiguayante, Biobío, Chile;41-2749030;veterinariahuesitos@gmail.com;;;
Dr. Javier Aguilar;Salvador Izquierdo 1930, La Reina, La Reina, Metropolitana De Santiago, Chile;9-5159445/9-8859191;javiherp@yahoo.com;Médico Veterinario con conocimiento en exóticos, especialmente reptiles(tortugas, lagartos o serpientes).;;
Te Paseo;Apoquindo  n° 5666, Las Condes, Metropolitana De Santiago, Chile;64099856;tepaseocontacto@gmail.com;No tienes tiempo para sacar a pasear a tú perro? Contactanos hoy, encuentranos en facebook, en nuestra web, o mandanos un email. Contamos con distintos planes mensuales de paseo, la red de paseadores de perro más grande del país!;;
Total Pets Shop;Tienda Online, Santiago, Metropolitana De Santiago, Chile;932580703;totalpets.shop@gmail.com;Nos dedicamos a la fabricación de rascadores para felinos, con material de calidad al 100%;;
Hotel Pet Sitter Los Angeles;Avda.Sor Vicenta 2276, Condominio El Avellano, Los Ángeles, Biobío, Chile;97936683;petsitterlosangeles@outlook.cl;Servicio a Domicilio. Cuidado de Mascotas en casa es una excelente alternativa para dejar a su regalón en su casa cuando se va de viaje o cuando no tiene tiempo. Las mascotas se sienten más seguras en la comodidad de su propia casa y están libres de estrés y exposición a enfermedades o lesiones que puede causar estar en un ambiente desconocido con muchos otros animales.;;
Pet Shop PerRock`s ;Cordillera De La Costa 2702, La Arboleda , Peñaflor, Peñaflor, Metropolitana De Santiago, Chile;86910976;tinyta20@hotmail.com;En PerRock`s  ofrecemos el servicio de peluquería a buenos precios y con mucha dedicación. Nos destacamos por trabajar con cariño, además tenemos variedad de ropa, collares y monton de novedades en pet.;;
Peluquería Canina Sandra Menares Paredes;Guadalupe 481, San Fernando, San Fernando, Libertador General Bernardo O'Higgins, Chile;9-0915535/8-6350239;smenaresparedes@yahoo.es;Servicio de peluqueria canina, estilista profesional, atención de lunes a domingo, consultas y reserva de hora fonos 90915535 entel/ 86350239 claro.;;
Pet & Vet;Av. San Martin N°367, Rancagua, Libertador General Bernardo O'Higgins, Chile;072-233662;petyvetveterinaria@gmail.com;Al servicio de nuestros amigos perros y gatos.;;
Clínica Veterinaria San Andrés;Salvador Izquierdo 1918, La Reina, Metropolitana De Santiago, Chile;25042826-95159445;vetsanandres@gmail.com;Exóticos, Ecografías, Rx, Cirugías, Fisioterapia, Captura con dardos, Urgencias, Peluquería, Hotel. Atención 24 hrs. Reptiles, Hurones, Erizos, Aves, Conejos, Perros y Gatos.;;
Pet Shop Patitas;Avenida Bulnes 0283, Punta Arenas, Magallanes Y De La Antártica Chilena, Chile;(61)321279;patitas.parenas@gmail.com;¡Ven a Patitas! Boutique & Tienda para Mascotas. Tenemos los más lindos y exclusivos artículos para regalonear y cuidar a tu mascota. Ropa & Bolsos para perritos, Artículos de Higiene & Belleza, Collares, Arneses y Traíllas, Artículos de Entrenamiento y muchos otros productos para hacer la vida de tu mascota más cómoda!;;
Huellas De Mascotas ;Pedro Fontova  n° 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;servicios de mascotas;;
Centro Veterinario Clinivet;Avenida La Florida 9474.Paradero 19., La Florida, Metropolitana De Santiago, Chile;56227692001;veterinariaclinivet@gmail.com;El Centro Veterinario Clinivet preocupado de la salud de tus mascotas, entrega un servicio especializado con altos estándares de calidad y con tecnologia avanzada.;;
Criadero Hacienda Von Rose;Avenida Maria 6376, La Cisterna, Metropolitana De Santiago, Chile;93230823;vonrosehacienda@hotmail.com;Boyero de berna, Westie, San Bernardo, Terranova, Bulldog Ingles, Pastor de brie, Border Collie.;;
Clínica Veterinaria Los Olivos;Mejillones, Arica, Arica Y Parinacota, Chile;2313782;cvetlosolivos@gmail.com;Clínica veterinaria y centro de esterilización felino a bajo costo, realizamos consultas animales domésticos y exóticos, peluquería canina, ecografía, hospitalización, cirugías, urgencia, exámenes de sangre, citológicos, e histológicos, ortopedia, oftalmología, farmacia, comidas, petshop;;
Diamond Blue Yorkshire Terrier;Lircay 117, Recoleta, Recoleta, Metropolitana De Santiago, Chile;92503098;contacto@diamondblue.cl;Criamos Yorkshire Terrier de alta selección para show y compañía con el mismo amor, seriedad y la dedicación necesaria para conseguir el más bello ejemplar en un ambiente familiar.;;
